timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753342568588,1225,HTTP Request,200,OK,product_browse 2-72,text,true,,2157,128,86,114,https://dummyjson.com/products/3,1224,0,995
1753342568840,974,HTTP Request,200,OK,product_browse 2-125,text,true,,2157,128,84,112,https://dummyjson.com/products/3,974,0,745
1753342568857,958,HTTP Request,200,OK,product_browse 2-128,text,true,,2157,128,84,112,https://dummyjson.com/products/3,958,0,730
1753342568950,867,HTTP Request,200,OK,product_browse 2-147,text,true,,2157,128,83,110,https://dummyjson.com/products/3,867,0,706
1753342568884,935,HTTP Request,200,OK,product_browse 2-133,text,true,,2157,128,81,107,https://dummyjson.com/products/3,935,0,731
1753342568989,832,HTTP Request,200,OK,product_browse 2-155,text,true,,2157,128,81,107,https://dummyjson.com/products/3,831,0,687
1753342568875,946,HTTP Request,200,OK,product_browse 2-132,text,true,,2157,128,81,107,https://dummyjson.com/products/3,946,0,743
1753342568985,837,HTTP Request,200,OK,product_browse 2-154,text,true,,2157,128,80,106,https://dummyjson.com/products/3,837,0,691
1753342568735,916,HTTP Request,200,OK,product_browse 2-104,text,true,,2157,128,116,158,https://dummyjson.com/products/3,916,0,682
1753342568901,922,HTTP Request,200,OK,product_browse 2-137,text,true,,2157,128,76,102,https://dummyjson.com/products/3,922,0,721
1753342568956,886,HTTP Request,200,OK,product_browse 2-148,text,true,,2156,128,76,102,https://dummyjson.com/products/3,886,0,726
1753342568720,927,HTTP Request,200,OK,product_browse 2-101,text,true,,2157,128,116,159,https://dummyjson.com/products/3,926,0,689
1753342568716,934,HTTP Request,200,OK,product_browse 2-100,text,true,,2157,128,116,158,https://dummyjson.com/products/3,934,0,696
1753342568705,937,HTTP Request,200,OK,product_browse 2-97,text,true,,2157,128,116,160,https://dummyjson.com/products/3,937,0,686
1753342568935,910,HTTP Request,200,OK,product_browse 2-144,text,true,,2157,128,72,96,https://dummyjson.com/products/3,909,0,736
1753342568745,876,HTTP Request,200,OK,product_browse 2-106,text,true,,2157,128,116,161,https://dummyjson.com/products/3,876,0,695
1753342568730,887,HTTP Request,200,OK,product_browse 2-103,text,true,,2157,128,116,162,https://dummyjson.com/products/3,887,0,702
1753342568924,923,HTTP Request,200,OK,product_browse 2-141,text,true,,2157,128,69,92,https://dummyjson.com/products/3,923,0,733
1753342568699,917,HTTP Request,200,OK,product_browse 2-96,text,true,,2157,128,116,162,https://dummyjson.com/products/3,917,0,679
1753342568725,891,HTTP Request,200,OK,product_browse 2-102,text,true,,2157,128,116,162,https://dummyjson.com/products/3,891,0,686
1753342568960,889,HTTP Request,200,OK,product_browse 2-149,text,true,,2157,128,66,89,https://dummyjson.com/products/3,889,0,700
1753342568705,909,HTTP Request,200,OK,product_browse 2-95,text,true,,2157,128,116,163,https://dummyjson.com/products/3,909,0,693
1753342568712,885,HTTP Request,200,OK,product_browse 2-99,text,true,,2157,128,116,163,https://dummyjson.com/products/3,885,0,671
1753342568707,889,HTTP Request,200,OK,product_browse 2-98,text,true,,2157,128,116,164,https://dummyjson.com/products/3,889,0,674
1753342568691,894,HTTP Request,200,OK,product_browse 2-94,text,true,,2157,128,116,164,https://dummyjson.com/products/3,894,0,684
